Municipality,Year,YieldPortfolio,Tmin_mean,Tmin_min,Tmax_mean,Tmax_max,Tmean_mean,Ptot_sum,Ptot_max,GDD_sum,HotDays_sum,FrostDays_sum,WetDays_sum
BRENDA-WASKADA,2008,3.3240444764488006,-1.0316016761639346,-32.13742306,7.531133813674863,32.80551112,3.249766069122951,0.29,0.05,1790.769982658,6,182,23
BRENDA-WASKADA,2009,4.844876897809579,-0.9451323490520547,-31.53022226,7.107659460180822,30.98481906,3.0812635558410957,0.37,0.11,1738.993829618,1,179,23
BRENDA-WASKADA,2010,3.04715020955256,0.8199497512109589,-32.20106878,8.721098736030138,34.64565433,4.770524243972603,0.45,0.03,1950.379490993,8,160,33
BRENDA-WASKADA,2011,1.4949306633900237,0.30619446403013695,-28.8494633,8.614934305564384,36.9731041,4.460564385375343,0.4,0.03,1971.402068076,13,174,30
BROKENHEAD,1996,1.497231052925217,-2.640448633090164,-39.06203913,5.254618085806011,34.42318671,1.3070847264508196,0.697549848014,0.042102291,1776.265034902,4,188,116
BROKENHEAD,1997,1.528272391946063,-0.6380352976054794,-34.25487077,7.268219123334246,31.48223162,3.3150919134109587,0.59,0.03,1807.01153184,1,186,44
BROKENHEAD,1998,1.7439766782058925,1.5897901744547946,-29.23967196,9.425814794041095,31.38831419,5.507802484843835,0.53,0.03,2027.803895129,2,157,41
BROKENHEAD,1999,2.17033102254387,1.0249501386438356,-30.60294959,8.85968402630411,32.69622337,4.942317082972602,0.48000000000000004,0.05,1823.30886423,5,165,34
BROKENHEAD,2000,1.6054028490476813,-0.23087692956557376,-31.08727303,7.646072341076502,30.48234159,3.7075977063142074,0.71,0.03,1831.16220751,1,161,46
BROKENHEAD,2001,1.0484973778074795,0.9549503043013697,-30.58326999,8.812642919369862,33.9260897,4.88379661229863,0.4,0.05,1952.046676272,6,162,29
BROKENHEAD,2002,2.2984277069426162,-0.5335884737205479,-33.77808123,7.422068302057534,35.0411756,3.444239914564384,0.42,0.05,1804.301770286,10,206,31
BROKENHEAD,2003,2.8680633775501616,-0.09874508768493155,-32.76494858,8.00712027710137,32.56892682,3.9541875952164385,0.41000000000000003,0.04,2009.825980954,5,172,32
BROKENHEAD,2004,2.887993399773635,-0.7614896265027322,-36.92024298,7.037399794308743,28.97572215,3.1379550841420762,0.73,0.05,1538.785796116,0,172,56
BROKENHEAD,2005,0.7333510818223157,0.667752882830137,-36.49918385,8.64912397690137,33.91260722,4.658438430616438,0.48,0.06,1971.432480324,11,161,32
BROKENHEAD,2006,2.5626213439621512,1.6754822239397258,-30.73493602,10.057366941931507,33.09132271,5.866424583539726,0.29,0.02,2154.175494494,9,172,27
BROKENHEAD,2007,2.1876812184304675,0.26922369169589044,-33.6167104,8.3561220515863,35.16767743,4.312672872027397,0.39,0.04,2035.694953278,11,155,34
BROKENHEAD,2008,3.0580273396427495,-1.7333426020901639,-35.50074838,7.01611340874317,31.54021614,2.6413854038114755,0.48,0.03,1733.729148257,2,181,38
BROKENHEAD,2009,2.3554292225457334,-0.6169810291808219,-29.42196307,7.148251232210958,30.0037938,3.2656351017068492,0.46,0.04,1649.998320967,1,178,36
BROKENHEAD,2010,2.1728031156830245,1.1682944749835615,-29.80015855,9.190807393279453,32.34060965,5.179550934534246,0.65,0.04,2011.973138206,7,150,42
BROKENHEAD,2011,3.159954836578895,0.6248799330986301,-30.62541824,8.95207897860274,34.63952234,4.788479456487671,0.33,0.03,2061.921015454,10,171,25
CARTIER,1996,2.626923977471983,-2.586881185079235,-38.89060627,5.29941744393989,34.35861019,1.3562681295628416,0.61561564596,0.039569408,1783.486552529,5,187,111
CARTIER,1997,2.990160939586658,-0.665229938079452,-34.69851517,7.375911382221918,31.64562696,3.3553407225643834,0.55,0.05,1821.686728814,2,188,38
CARTIER,1998,3.063643836840046,1.543854637150685,-28.6426404,9.341459880734247,31.67126236,5.442657259438356,0.53,0.04,2034.845494739,2,158,42
CARTIER,1999,4.025854469537557,1.0500262377342466,-30.09053548,8.934818625473973,32.19928798,4.992422432175343,0.51,0.06,1832.568736713,6,164,36
